name,team,pos,cap_hit,years_remaining,expiry_year,expiry_status,team_current_spotrac,team_source
Brock Boeser,VAN,RW,7250000,7,2032,UFA,VAN,eh_2025-26
Nico Hischier,NJD,C,7250000,7,2032,UFA,NJD,eh_2025-26
Clayton Keller,UTA,C,7150000,3,2028,UFA,UTA,eh_2025-26
Matthew Beniers,SEA,C,7143000,6,2031,UFA,SEA,eh_2025-26
Kyle Connor,WPG,LW,7143000,9,2034,UFA,WPG,eh_2025-26
Dylan Guenther,UTA,RW,7143000,8,2033,UFA,UTA,eh_2025-26
Kevin Hayes,PIT,C,7143000,1,2026,UFA,PIT,eh_2025-26
Tage Thompson,BUF,C,7143000,5,2030,UFA,BUF,eh_2025-26
Dylan Cozens,OTT,C,7100000,5,2030,UFA,OTT,eh_2025-26
Matthew Boldy,MIN,LW,7000000,5,2030,UFA,MIN,eh_2025-26
Mikael Granlund,ANA,C,7000000,3,2028,UFA,ANA,eh_2025-26
Nazem Kadri,CGY/COL,C,7000000,4,2029,UFA,COL,eh_2025-26
Anze Kopitar,LAK,C,7000000,1,2026,UFA,LAK,eh_2025-26
Gabriel Landeskog,COL,LW,7000000,4,2029,UFA,COL,eh_2025-26
Anders Lee,NYI,C,7000000,1,2026,UFA,NYI,eh_2025-26
Mason McTavish,ANA,C,7000000,6,2031,UFA,ANA,eh_2025-26
Troy Terry,ANA,RW,7000000,5,2030,UFA,ANA,eh_2025-26
Carter Verhaeghe,FLA,C,7000000,8,2033,UFA,FLA,eh_2025-26
Matthew Coronato,CGY,RW,6500000,7,2032,UFA,CGY,eh_2025-26
Brendan Gallagher,MTL,RW,6500000,2,2027,UFA,MTL,eh_2025-26
Brandon Hagel,TBL,LW,6500000,7,2032,UFA,TBL,eh_2025-26
Chris Kreider,ANA,LW,6500000,2,2027,UFA,ANA,eh_2025-26
Martin Necas,COL,C,6500000,9,2034,UFA,COL,eh_2025-26
Brayden Schenn,NYI/STL,C,6500000,3,2028,UFA,NYI,eh_2025-26
Thomas Wilson,WSH,RW,6500000,6,2031,UFA,WSH,eh_2025-26
Quinton Byfield,LAK,C,6250000,4,2029,UFA,LAK,eh_2025-26
Anthony Cirelli,TBL,C,6250000,6,2031,UFA,TBL,eh_2025-26
Alexander Killorn,ANA,C,6250000,2,2027,UFA,ANA,eh_2025-26
Chandler Stephenson,SEA,C,6250000,6,2031,UFA,SEA,eh_2025-26
Owen Tippett,PHI,RW,6200000,7,2032,UFA,PHI,eh_2025-26
Valeri Nichushkin,COL,RW,6125000,5,2030,UFA,COL,eh_2025-26
Evgeni Malkin,PIT,C,6100000,2,2027,UFA,PIT,eh_2025-26
Ondrej Palat,NJD/NYI,LW,6000000,2,2027,UFA,NYI,eh_2025-26
Tyler Toffoli,SJS,RW/LW,6000000,3,2028,UFA,SJS,eh_2025-26
William Karlsson,VGK,C,5900000,2,2027,UFA,VGK,eh_2025-26
Nick Schmaltz,UTA,C,5850000,9,2034,UFA,UTA,eh_2025-26
Casey Mittelstadt,BOS,C,5750000,2,2027,UFA,BOS,eh_2025-26
Yegor Sharangovich,CGY,C,5750000,5,2030,UFA,CGY,eh_2025-26
Trevor Zegras,PHI,C,5750000,5,2030,UFA,PHI,eh_2025-26
Andrew Copp,DET,C,5625000,2,2027,UFA,DET,eh_2025-26
Vincent Trocheck,NYR,C,5625000,4,2029,UFA,NYR,eh_2025-26
Josh Anderson,MTL,RW,5500000,2,2027,UFA,MTL,eh_2025-26
Tyler Bertuzzi,CHI,LW,5500000,3,2028,UFA,CHI,eh_2025-26
Andre Burakovsky,CHI,LW,5500000,2,2027,UFA,CHI,eh_2025-26
Phillip Danault,LAK/MTL,C,5500000,2,2027,UFA,MTL,eh_2025-26
Jake DeBrusk,VAN,LW,5500000,6,2031,UFA,VAN,eh_2025-26
Morgan Geekie,BOS,C,5500000,6,2031,UFA,BOS,eh_2025-26
Zach Hyman,EDM,C,5500000,3,2028,UFA,EDM,eh_2025-26
Adrian Kempe,LAK,LW,5500000,9,2034,UFA,LAK,eh_2025-26
Jonathan Marchessault,NSH,C,5500000,4,2029,UFA,NSH,eh_2025-26
Sean Monahan,CBJ,C,5500000,4,2029,UFA,CBJ,eh_2025-26
Jaden Schwartz,SEA,LW,5500000,1,2026,UFA,SEA,eh_2025-26
Oliver Bjorkstrand,TBL,RW,5400000,1,2026,UFA,TBL,eh_2025-26
Christian Dvorak,PHI,C/LW,5400000,6,2031,UFA,PHI,eh_2025-26
Teuvo Teravainen,CHI,C/LW/RW,5400000,2,2027,UFA,CHI,eh_2025-26
Charlie Coyle,CBJ,C,5250000,7,2032,UFA,CBJ,eh_2025-26
Joel Eriksson Ek,MIN,C,5250000,4,2029,UFA,MIN,eh_2025-26
Brad Marchand,FLA,LW,5250000,6,2031,UFA,FLA,eh_2025-26
Evander Kane,VAN,LW,5125000,1,2026,UFA,VAN,eh_2025-26
Ryan Nugent-Hopkins,EDM,C,5125000,4,2029,UFA,EDM,eh_2025-26
Bryan Rust,PIT,RW,5125000,3,2028,UFA,PIT,eh_2025-26
J.T Compher,DET,C,5100000,3,2028,UFA,DET,eh_2025-26
Ivan Barbashev,VGK,C,5000000,3,2028,UFA,VGK,eh_2025-26
Joel Farabee,CGY,LW,5000000,3,2028,UFA,CGY,eh_2025-26
Anton Lundell,FLA,C,5000000,5,2030,UFA,FLA,eh_2025-26
Jared McCann,SEA,LW,5000000,2,2027,UFA,SEA,eh_2025-26
Ryan McLeod,BUF,C,5000000,4,2029,RFA,BUF,eh_2025-26
Jean-Gabriel Pageau,NYI,C,5000000,4,2029,UFA,NYI,eh_2025-26
Rickard Rakell,PIT,C,5000000,3,2028,UFA,PIT,eh_2025-26
Marco Rossi,MIN/VAN,C,5000000,3,2028,RFA,VAN,eh_2025-26
Dylan Strome,WSH,C,5000000,3,2028,UFA,WSH,eh_2025-26
Ryan Strome,ANA/CGY,C,5000000,2,2027,UFA,CGY,eh_2025-26
Alexander Wennberg,SJS,C,5000000,4,2029,UFA,SJS,eh_2025-26
Drake Batherson,OTT,C,4975000,2,2027,UFA,OTT,eh_2025-26
Conor Garland,CBJ/VAN,RW,4950000,7,2032,UFA,CBJ,eh_2025-26
Blake Coleman,CGY,C,4900000,2,2027,UFA,CGY,eh_2025-26
Jesperi Kotkaniemi,CAR,C,4820000,5,2030,UFA,CAR,eh_2025-26
Jordan Eberle,SEA,RW,4750000,3,2028,UFA,SEA,eh_2025-26
Ilya Mikheyev,CHI,LW,4750000,1,2026,UFA,CHI,eh_2025-26
Kyle Palmieri,NYI,RW/LW,4750000,2,2027,UFA,NYI,eh_2025-26
Vladimir Tarasenko,MIN,RW,4750000,1,2026,UFA,MIN,eh_2025-26
Alex Tuch,BUF,RW,4750000,9,2034,UFA,BUF,eh_2025-26
